Date,Value
21/12/2023,16
22/12/2023,24
23/12/2023,13
24/12/2023,9
25/12/2023,10
26/12/2023,30
27/12/2023,16
28/12/2023,12
29/12/2023,19
30/12/2023,29
31/12/2023,18
