date,population,admission,release
2023-05-26,126975.56164695155,2540.8968261398177,2360.2339142111223
2023-05-27,127167.52455888025,2552.196826139818,1164.2339142111223
2023-05-28,127888.98747080892,1884.4468261398179,1258.350580877789
2023-05-29,128282.82538273762,1652.1884928064846,1173.350580877789
2023-05-30,128725.16329466633,1615.6884928064846,3089.929945957154
2023-05-31,128150.96946056328,2514.736111854104,2780.563279290487
2023-06-01,127852.27562646022,2481.869445187437,2616.563279290487
2023-06-02,127798.5817923572,2561.194445187437,2555.3632792904873
2023-06-03,127919.0546249208,2675.8361118541034,1230.1132792904875
2023-06-04,128584.02745748445,1895.0861118541036,1193.9466126238208
2023-06-05,129008.00029004802,1617.9194451874368,2916.02161262382
2023-06-06,128416.55645594497,2326.5777785207706,2612.6644697666775
2023-06-07,128389.25547898479,2584.363492806485,2776.7144697666777
2023-06-08,128127.7545020246,2515.824603917596,2563.992247544455
2023-06-09,128142.14241395329,2578.3801594731513,2401.242247544455
2023-06-10,128315.28032588199,2574.296826139818,1153.1589142111222
2023-06-11,128991.91823781068,1828.5468261398182,1369.1589142111222
2023-06-12,129191.05614973935,1569.796826139818,2860.414469766678
2023-06-13,128677.28295055695,2346.5857150287065,3054.650580877789
2023-06-14,128164.00975137456,2543.2107150287065,1691.2255411732804
2023-06-15,127782.87275238379,1532.7523315192236,1637.3804416210683
2023-06-16,127672.30908672643,1520.9723315192236,1117.1788543194805
2023-06-17,127542.45970678331,1083.9485219954136,1109.7979019385282
2023-06-18,127516.6103268402,1083.9485219954136,1109.7979019385282
2023-06-19,127490.76094689705,1083.9485219954136,1109.7979019385282
2023-06-20,127464.91156695396,1083.9485219954136,1109.7979019385282
2023-06-21,127439.06218701084,1083.9485219954136,1109.7979019385282
2023-06-22,127413.21280706776,1083.9485219954136,1109.7979019385282
2023-06-23,127387.36342712461,1083.9485219954136,1109.7979019385282
2023-06-24,127361.51404718152,1083.9485219954136,1109.7979019385282
2023-06-25,127335.66466723838,1083.9485219954136,1109.7979019385282
2023-06-26,127309.81528729526,1083.9485219954136,1109.7979019385282
2023-06-27,127283.96590735218,1083.9485219954136,1109.7979019385282
2023-06-28,127258.11652740903,1083.9485219954136,1109.7979019385282
2023-06-29,127232.26714746591,1083.9485219954136,1109.7979019385282
2023-06-30,127669.4177675228,1092.5237092024668,1599.733607988663
2023-07-01,128442.78637609359,2373.102216559445,1310.733607988663
2023-07-02,129318.15498466439,2186.102216559445,1324.733607988663
2023-07-03,129818.52359323515,1825.1022165594454,2708.733607988663
2023-07-04,129428.8922018059,2319.102216559445,1088.7336079886632
2023-07-05,130250.26081037673,1908.1974546546837,2983.8217771294635
2023-07-06,129794.39619057743,2557.6494650224827,2853.6947570906786
2023-07-07,129683.05678086219,2745.9295770673007,2538.640415353984
2023-07-08,129939.55070448024,2796.667672305396,1216.1737486873178
2023-07-09,130648.04462809832,1924.6676723053963,1211.1737486873178
2023-07-10,131425.0385517164,1729.831736477987,3533.41823012943
2023-07-11,130854.52664690057,2962.906325313602,3115.2564257330414
2023-07-12,130642.43563951906,2906.1485644189547,3149.7395718004573
2023-07-13,130451.34463213757,2958.6485644189543,3442.481621270421
2023-07-14,130239.02040920839,3230.157398341216,3118.6161357061173
2023-07-15,130260.74408654166,3140.3398130393784,1382.6161357061162
2023-07-16,130962.4677638749,2084.33981303938,1484.1161357061162
2023-07-17,131376.19144120812,1897.8398130393796,3207.9494690394504
2023-07-18,130908.74845187475,2740.506479706046,3222.9494690394504
2023-07-19,130611.05546254134,2925.256479706046,3331.2828023727843
2023-07-20,130299.86247320798,3020.7564797060454,3339.6161357061164
2023-07-21,129965.33615054122,3005.0898130393784,2986.4494690394495
2023-07-22,130066.14316120783,3084.723146372712,1299.9494690394497
2023-07-23,131074.9501718744,2302.291133171392,1537.94946903945
2023-07-24,131410.75718254104,1871.2621939917603,3472.1718249291744
2023-07-25,130719.0516869419,2780.4829959967724,3242.0884915958413
2023-07-26,130706.08508023176,3168.7115133867746,3302.4067608686555
2023-07-27,130453.36839011063,3048.6922305747366,3440.8858825389225
2023-07-28,130124.2121751515,3089.2737288824583,2962.6358825389225
2023-07-29,130292.65078777852,3132.574495165983,1366.1358825389216
2023-07-30,131219.92273373893,2293.407828499316,1364.1358825389216
2023-07-31,131642.69467969934,1777.0300507215388,3312.7009619040014
2023-08-01,130974.54122883434,2596.282901332455,3457.9652554129707
2023-08-02,130909.83397064311,3193.215450843534,3348.421391379767
2023-08-03,130798.11235552553,3155.5354183574536,3467.7899457819813
2023-08-04,130738.4713048211,3408.1488950775456,3113.3232791153146
2023-08-05,130846.15247633887,3320.7377839664346,1445.0566124486477
2023-08-06,131881.8336478567,2480.7377839664346,1540.1366124486476
2023-08-07,132415.0548193745,2042.7783710173242,3798.6175004387865
2023-08-08,131675.5851157544,3058.779664950568,3424.0828542849404
2023-08-09,131436.2778121343,3176.7959068989503,3482.0926688978084
2023-08-10,131089.93906540264,3135.7539221661264,3575.0926688978084
2023-08-11,130903.60031867096,3388.753922166127,3295.5926688978084
2023-08-12,131021.76157193928,3413.753922166127,1582.5926688978084
2023-08-13,131837.92282520756,2398.753922166126,1465.5926688978084
2023-08-14,132424.0840784759,2051.7539221661264,3808.5926688978084
2023-08-15,131549.7453317442,2934.2539221661264,3556.926002231142
2023-08-16,131212.40658501253,3219.0872554994594,3750.211716516856
2023-08-17,130862.71069542371,3400.515826928031,3424.961716516856
2023-08-18,130768.01480583489,3330.265826928031,3409.8783831835226
