date,population
17/10/2024,7.1
18/10/2024,5.1
19/10/2024,7.1
20/10/2024,8.1
21/10/2024,12.1
22/10/2024,9.1
23/10/2024,8.1
24/10/2024,8.1
25/10/2024,13.1
26/10/2024,9.1
27/10/2024,5.1
28/10/2024,4.1
29/10/2024,7.1
30/10/2024,11.1
31/10/2024,16.1
01/11/2024,12.1
02/11/2024,12.1
03/11/2024,11.1
04/11/2024,22.1
05/11/2024,21.1
06/11/2024,16.1
07/11/2024,15.1
08/11/2024,25.1
09/11/2024,30.1
10/11/2024,18.1
11/11/2024,11.1
12/11/2024,10.1
13/11/2024,16.1
14/11/2024,13.1
15/11/2024,15.1
16/11/2024,8.1
17/11/2024,4.1
18/11/2024,8.1
19/11/2024,7.1
20/11/2024,5.1
21/11/2024,12.1
22/11/2024,5.1
23/11/2024,4.1
24/11/2024,4.1
25/11/2024,5.1
26/11/2024,11.1
27/11/2024,9.1
28/11/2024,17.1
29/11/2024,8.1
30/11/2024,8.1
01/12/2024,5.1
02/12/2024,4.1
